VISA;TITRE;REALISATEUR;PRODUCTEURS;DEVIS;GENRE;EOF;RANG;ASR;PAYANTE;CLAIR;NATIONALITE;Date;DECOMPOSITION;AIDES
133626;PETITS PRINCES (LES);LEBASQUE Vianney;EUROPACORP / M.E.S PRODUCTIONS SARL / RHAMSA PRODUCTIONS;3 835 047,00;Fiction;;1;avant;;;France;2012;France-100;Sofica,Crédit D'impot,Aide Régionale
133715;PROFS (LES);MARTIN LAVAL Pierre-François;LES FILMS DU 24 / TF1 DROITS AUDIOVISUELS / TF1 FILMS PRODUCTION;11 803 854,00;Fiction;;3;;;TF1 NT1;France;2012;France-100;Sofica,Crédit D'impot
124552;VIOLETTE;PROVOST Martin;FRANCE 3 CINEMA / TS PRODUCTIONS;5 983 824,00;Fiction;;3;avant;;F3;France/Belgique;2012;France-90 / Belgique-10;Sofica,Crédit D'impot,Aide Régionale
128883;ZULU;SALLE Jerome;ESKWAD / M6 FILMS / PATHE PRODUCTION;16 230 564,00;Fiction;;3;;;M6 W9;France/Afrique Du Sud;2012;France-80 / Afrique Du Sud-20;
134520;Belle et la Bête (La);GANS Christophe;ESKWAD / PATHE PRODUCTION / TF1 FILMS PRODUCTION;34,05;Fiction;;3;;;TF1 TF1 TMC;France/Allemagne;2013;France-63 / Allemagne-37;
134878;Goal of the Dead seconde mi-temps;POIRAUD Thierry;CAPTURE THE FLAG FILMS;1,73;Fiction;;2;;;;France;2013;France-100;Sofica,Crédit D'impot
138167;Je me tue à le dire;SERON Xavier;TOBINA FILM;1,78;Fiction;;1;avant;;;Belgique/France;2013;Belgique-60 / France-39;Aide Régionale
134053;Métamorphoses;HONORE Christophe;FRANCE 3 CINEMA / LE PACTE / LFP;3,95;Fiction;;3;avant;;F3;France;2013;France-100;Sofica,Crédit D'impot,Aide Régionale
135842;Mon âme par toi guérie;DUPEYRON François;ALFAMA FILMS PRODUCTION / KINOLOGY;1,51;Fiction;;3;avant;;;France;2013;France-100;Sofica,Aide Régionale
134563;Nymphomaniac volume 1;VON TRIER Lars;SLOT MACHINE / ZENTROPA INTERNATIONAL FRANCE;4,53;Fiction;;3;;;;Danemark/Allemagne/France;2013;Danemark-52 / Allemagne-37 / France-10;
131344;Rançon de la gloire (La);BEAUVOIS Xavier;ARCHES FILMS / FRANCE 3 CINEMA / WHY NOT PRODUCTIONS;8,11;Fiction;;3;avant;;F3;France/Suisse/Belgique;2013;France-68 / Suisse-22 / Belgique-10;Crédit D'impot
135544;Yves Saint Laurent;LESPERT Jalil;CINEFRANCE 1888 / SOCIETE NOUVELLE DE DISTRIBUTION / WY PRODUCTIONS;12,02;Fiction;;3;;;;France;2013;France-100;Sofica,Crédit D'impot
126264;ART DE SEDUIRE (L');MAZARGUIL Guy;OFFSHORE;1 321 465,00;Fiction;;1;;;;France;2010;France-100;Crédit D'impot
115579;CHANCE DE MA VIE (LA);CUCHE Nicolas;FIDELITE FILMS / JERICO / TF1 FILMS PRODUCTION;7 516 909,00;Fiction;;2;;;;France/Belgique;2010;France-67 / Belgique-33;Sofica
122475;JOURNAL DE FRANCE;DEPARDON Raymond / NOUGARET Claudine;FRANCE 2 CINEMA / PALMERAIE ET DESERT;2 829 573,00;Documentaire;;3 / 1;avant;;;France;2010;France-100;Crédit D'impot,Aide Régionale
118080;LEA;ROLLAND Bruno;PARAISO PRODUCTION DIFFUSION;1 072 862,00;Fiction;;1;avant;;;France;2010;France-100;Aide Régionale
123687;NO ET MOI;BREITMAN Zabou;EPITHETE FILMS / FRANCE 3 CINEMA;5 852 781,00;Fiction;;3;;;;France;2010;France-100;Sofica,Crédit D'impot
119386;NUIT BLANCHE;JARDIN Frédéric;CHIC FILMS SAS;4 580 458,00;Fiction;;3;;;;France/Belgique/Luxembourg;2010;France-41 / Belgique-32 / Luxembourg-26;
124122;OISEAU (L');CAUMON Yves;ARTE FRANCE CINEMA / BLUE MONDAY PRODUCTIONS;2 230 697,00;Fiction;;3;avant;;;France;2010;France-100;Sofica,Crédit D'impot,Aide Régionale
122068;VEINE DE VIGNERON;CARO Niki;ACAJOU FILMS / KORTEX;8 391 427,00;Fiction;;3;;;;Nouvelle Zelande/France;2010;Nouvelle Zelande-57 / France-43;Aide Régionale
129846;Adama;ROUBY Simon;FRANCE 3 CINEMA / NAIA / PIPANGAI PRODUCTION;3,70;Anim;;1;avant;OCS;F3;France;2014;France-100;Sofica,Crédit D'impot,Aide Régionale
132894;J'avancerai vers toi avec les yeux d'un sourd;CARTON Laetitia;KALEO FILMS;0,74;Docu;;2;avant;;;France;2014;France-100;Sofica,Crédit D'impot,Aide Régionale
122121;J'demande pas la lune, juste quelques étoiles;COUDRAY Robert;PROVIDENCE FILMS;0,06;Fiction;;1;;;;France;2014;France-100;
140190;Peur de rien;ARBID Danielle;LFP;1,90;Fiction;;3;avant;Ciné+;;France;2014;France-100;Sofica,Crédit D'impot,Aide Régionale
138781;Pome dla life;ENRICO Jerome;FRANCE 2 CINEMA / GAUMONT / LEGENDE FILMS;5,52;Fiction;;3;;C+ Ciné+;F2;France;2014;France-100;Crédit D'impot
137972;Repas de famille;SALFATI Pierre-Henri;IN PRODUCTION;3,11;Fiction;;3;;;D8;France;2014;France-100;Crédit D'impot,Aide Régionale
124147;A CIEL OUVERT;COMPAN Inès;MOSAIQUE FILMS;334 866,00;Documentaire;;1;;;;France;2009;France-100;Aide Régionale
111804;COPACABANA;FITOUSSI Marc;ARTE FRANCE CINEMA / AVENUE B PRODUCTIONS / MARS FILMS;3 490 181,00;Fiction;;2;avant;;;France;2009;France-100;Sofica,Crédit D'impot,Aide Régionale
119835;JE SUIS VENU VOUS DIRE…;SALFATI Pierre-Henri;ARTE FRANCE CINEMA / ZETA PRODUCTIONS;1 649 780,00;Documentaire;;3;avant;;;France;2009;France-100;Sofica,Crédit D'impot
121200;NOSTALGIE DE LA LUMIERE;GUZMAN Patricio;ATACAMA PRODUCTIONS;612 000,00;Documentaire;;3;;;;France/Allemagne;2009;France-78 / Allemagne-21;Aide Régionale
